id,nom,ville,arrondissement,quartier,latitude,longitude,telephone,email,agree_minsante,phytotherapie,acupuncture,massage_therapeutique,traitement_paludisme,traitement_diabete,traitement_hypertension,plante_principale,horaires
TRD0112,Centre de Phytothérapie de Mvog-Ada,Yaoundé,Yaoundé I,Mvog-Ada,3.774271,11.489551,+237 690 952 813,phytothérapiem@hotmail.com,Non,Oui,Oui,Oui,Oui,Oui,Non,Aloe Vera,Lun–Dim 08h00–18h00
TRD0113,Centre de Phytothérapie de Mvog-Atangana,Yaoundé,Yaoundé III,Mvog-Atangana,3.755883,11.517983,+237 699 374 370,phytothérapiem@yahoo.fr,Non,Oui,Oui,Non,Oui,Oui,Non,Hibiscus,Lun–Sam 07h00–20h00
TRD0114,Centre de Médecine Traditionnelle de Nkol-Eton,Yaoundé,Yaoundé III,Kondengui,3.922438,11.563244,+237 222 682 070,traditionnelnk@hotmail.com,Oui,Oui,Non,Oui,Non,Non,Oui,Moringa,Lun–Ven 08h00–18h00
TRD0115,Centre Traditionnel Élisabeth,Yaoundé,Yaoundé II,Mokolo,3.775297,11.561309,+237 696 183 014,traditionnelél@gmail.com,Oui,Oui,Non,Oui,Oui,Non,Oui,Neem,Lun–Sam 07h30–19h00
TRD0116,Centre Traditionnel Luc,Yaoundé,Yaoundé VII,Étoa-Meki,3.832815,11.443871,+237 652 674 281,traditionnellu@hotmail.com,Oui,Oui,Non,Oui,Non,Non,Oui,Gingembre,Lun–Sam 08h00–17h00
TRD0117,Centre de Médecine Traditionnelle de PK8,Douala,Douala IV,Akwa,4.065627,9.719097,+237 693 990 866,traditionnelpk@yahoo.fr,Oui,Oui,Non,Oui,Oui,Oui,Non,Papayer,Lun–Sam 07h00–20h00
TRD0118,Centre Traditionnel Joachim,Douala,Douala I,Bepanda,3.97983,9.749494,+237 678 157 660,traditionneljo@hotmail.com,Non,Oui,Non,Non,Oui,Non,Non,Rauwolfia,Lun–Ven 07h30–17h30
TRD0119,Centre Traditionnel Cyprien,Douala,Douala V,Soboum,4.031131,9.652273,+237 233 190 894,traditionnelcy@yahoo.fr,Oui,Oui,Non,Oui,Non,Oui,Oui,Neem,Lun–Sam 07h00–20h00
TRD0120,Centre de Phytothérapie de Biyem-Assi,Yaoundé,Yaoundé III,Djoungolo,3.932959,11.520793,+237 697 777 776,phytothérapieb@hotmail.com,Oui,Oui,Non,Oui,Oui,Oui,Non,Gingembre,7j/7 — 08h00–20h00
TRD0121,Centre de Phytothérapie de Nkol-Eton,Yaoundé,Yaoundé I,Ahala,3.785322,11.471279,+237 694 981 316,phytothérapien@gmail.com,Non,Oui,Non,Non,Non,Oui,Oui,Moringa,Lun–Sam 07h00–20h00
TRD0122,Centre Traditionnel Félicité,Yaoundé,Yaoundé II,Mokolo,3.907313,11.523741,+237 692 301 446,traditionnelfé@yahoo.fr,Oui,Oui,Non,Non,Oui,Oui,Oui,Rauwolfia,Lun–Dim 08h00–18h00
TRD0123,Centre de Médecine Traditionnelle de Bonamoussadi,Douala,Douala IV,PK8,4.008638,9.767769,+237 653 387 271,traditionnelbo@sante.cm,Non,Oui,Oui,Non,Oui,Oui,Oui,Prunus Africana,Lun–Sam 07h30–19h00
TRD0124,Phytothérapie Espoir,Douala,Douala VI,Sodiko,3.99478,9.691846,+237 694 424 282,phytothérapiee@sante.cm,Oui,Oui,Non,Oui,Oui,Oui,Oui,Neem,Lun–Ven 08h00–18h00
TRD0125,Cabinet Traditionnel Kamga,Yaoundé,Yaoundé VI,Simbock,3.926295,11.504714,+237 678 975 791,traditionnelka@gmail.com,Oui,Oui,Non,Oui,Oui,Oui,Oui,Prunus Africana,7j/7 — 08h00–20h00
TRD0126,Médecine Naturelle Tchoupo,Yaoundé,Yaoundé V,Nkol-Eton,3.782738,11.505618,+237 677 367 140,natureltchoupo@sante.cm,Oui,Oui,Oui,Non,Oui,Oui,Oui,Gingembre,Lun–Sam 07h00–20h00
TRD0127,Cabinet Traditionnel Bello,Yaoundé,Yaoundé II,Mvog-Ada,3.797438,11.44245,+237 654 990 246,traditionnelbe@gmail.com,Oui,Oui,Non,Oui,Oui,Non,Oui,Aloe Vera,Lun–Sam 07h30–19h00
TRD0128,Centre Traditionnel Cécile,Yaoundé,Yaoundé V,Mokolo,3.790686,11.496788,+237 242 832 152,traditionnelcé@sante.cm,Non,Oui,Non,Non,Oui,Oui,Non,Moringa,Lun–Ven 08h00–18h00
TRD0129,Centre Traditionnel Louis,Yaoundé,Yaoundé I,Efoulan,3.911681,11.452855,+237 654 562 602,traditionnello@sante.cm,Oui,Oui,Non,Non,Oui,Non,Oui,Gingembre,Lun–Ven 07h30–17h30
TRD0130,Médecine Naturelle Bello,Douala,Douala III,Bessengue,3.998691,9.653793,+237 677 105 770,naturelbello@yahoo.fr,Non,Oui,Non,Oui,Non,Non,Oui,Prunus Africana,Lun–Sam 08h00–17h00
TRD0131,Centre de Phytothérapie de Biyem-Assi,Yaoundé,Yaoundé V,Biyem-Assi,3.825758,11.566245,+237 696 650 299,phytothérapieb@yahoo.fr,Oui,Oui,Non,Oui,Oui,Non,Non,Rauwolfia,Lun–Sam 08h30–18h30
TRD0132,Centre de Phytothérapie de Ngoa-Ekélé,Yaoundé,Yaoundé I,Ngoa-Ekélé,3.883324,11.545016,+237 652 458 814,phytothérapien@hotmail.com,Non,Oui,Non,Non,Oui,Oui,Non,Rauwolfia,Lun–Sam 08h30–18h30
TRD0133,Centre de Médecine Traditionnelle de Mbanya,Douala,Douala II,Mbanya,4.06895,9.693784,+237 233 146 491,traditionnelmb@yahoo.fr,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Aloe Vera,Lun–Dim 08h00–18h00
TRD0134,Centre de Médecine Traditionnelle de Bonaberi,Douala,Douala I,PK17,3.992761,9.74624,+237 652 261 347,traditionnelbo@hotmail.com,Oui,Oui,Non,Non,Oui,Oui,Oui,Neem,Lun–Ven 08h00–18h00
TRD0135,Phytothérapie Grâce,Yaoundé,Yaoundé I,Ekounou,3.858454,11.421534,+237 690 298 249,phytothérapieg@hotmail.com,Oui,Oui,Oui,Non,Oui,Oui,Oui,Aloe Vera,Lun–Dim 08h00–18h00
TRD0136,Cabinet Traditionnel Nguele,Yaoundé,Yaoundé III,Mvog-Beti,3.779167,11.539815,+237 655 477 826,traditionnelng@yahoo.fr,Oui,Oui,Oui,Oui,Oui,Oui,Non,Papayer,7j/7 — 08h00–20h00
TRD0137,Centre de Phytothérapie de Akwa,Douala,Douala II,Bonaloka,4.088098,9.778747,+237 690 806 654,phytothérapiea@sante.cm,Oui,Oui,Non,Oui,Oui,Oui,Oui,Moringa,Lun–Dim 08h00–18h00
TRD0138,Centre Traditionnel Bruno,Yaoundé,Yaoundé II,Tsinga,3.831577,11.488289,+237 695 505 006,traditionnelbr@sante.cm,Oui,Oui,Non,Oui,Non,Non,Non,Aloe Vera,Lun–Ven 08h00–18h00
TRD0139,Phytothérapie Harmonie,Douala,Douala VI,Bessengue,4.066921,9.738319,+237 677 563 561,phytothérapieh@yahoo.fr,Non,Oui,Oui,Oui,Oui,Oui,Oui,Gingembre,Lun–Dim 08h00–18h00
TRD0140,Centre de Phytothérapie de Soboum,Douala,Douala VI,Mbanya,4.065656,9.632185,+237 242 258 143,phytothérapies@hotmail.com,Oui,Oui,Non,Oui,Oui,Oui,Oui,Prunus Africana,Lun–Sam 07h00–20h00
TRD0141,Centre de Phytothérapie de Ndog-Passi III,Douala,Douala V,Ndokoti,3.994883,9.773169,+237 654 012 585,phytothérapien@yahoo.fr,Oui,Oui,Non,Oui,Oui,Oui,Oui,Kinkeliba,Lun–Ven 08h00–18h00
TRD0142,Phytothérapie Bien-être,Yaoundé,Yaoundé IV,Nlongkak,3.768841,11.49944,+237 697 999 502,phytothérapieb@hotmail.com,Non,Oui,Non,Oui,Oui,Non,Oui,Moringa,Lun–Sam 08h30–18h30
TRD0143,Centre de Médecine Traditionnelle de Makepe,Douala,Douala III,PK12,4.035952,9.696498,+237 653 725 088,traditionnelma@hotmail.com,Oui,Oui,Oui,Oui,Oui,Non,Oui,Neem,7j/7 — 08h00–20h00
TRD0144,Centre de Médecine Traditionnelle de Ngousso,Yaoundé,Yaoundé I,Ngousso,3.757862,11.443891,+237 694 094 186,traditionnelng@yahoo.fr,Non,Oui,Non,Oui,Oui,Oui,Oui,Aloe Vera,Lun–Sam 07h00–20h00
TRD0145,Centre de Médecine Traditionnelle de Bonanjo,Douala,Douala VI,PK10,3.981507,9.678695,+237 650 729 758,traditionnelbo@sante.cm,Oui,Oui,Non,Oui,Oui,Oui,Oui,Neem,Lun–Ven 08h00–18h00
TRD0146,Centre de Médecine Traditionnelle de Ndog-Passi III,Douala,Douala V,Ndog-Passi III,4.100852,9.734847,+237 699 028 917,traditionnelnd@sante.cm,Oui,Oui,Oui,Non,Oui,Non,Oui,Hibiscus,Lun–Sam 08h30–18h30
TRD0147,Centre de Médecine Traditionnelle de PK8,Douala,Douala VI,PK17,4.031715,9.766859,+237 697 231 762,traditionnelpk@hotmail.com,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Moringa,Lun–Sam 07h00–20h00
TRD0148,Centre Traditionnel Élisabeth,Yaoundé,Yaoundé I,Messa,3.76956,11.514858,+237 222 586 401,traditionnelél@yahoo.fr,Non,Oui,Non,Oui,Oui,Oui,Oui,Prunus Africana,Lun–Ven 08h00–18h00
TRD0149,Médecine Naturelle Djoumbi,Yaoundé,Yaoundé I,Nsam,3.81754,11.590762,+237 677 627 565,natureldjoumbi@hotmail.com,Oui,Oui,Oui,Non,Oui,Oui,Oui,Hibiscus,7j/7 — 08h00–20h00
TRD0150,Centre de Phytothérapie de Ndogbong,Douala,Douala I,Ndog-Bong,4.096497,9.682921,+237 699 854 859,phytothérapien@hotmail.com,Oui,Oui,Non,Non,Oui,Non,Non,Rauwolfia,Lun–Sam 07h30–19h00
TRD0151,Centre Traditionnel Claire,Yaoundé,Yaoundé V,Mvog-Atangana,3.835979,11.569485,+237 233 340 364,traditionnelcl@hotmail.com,Non,Oui,Non,Non,Oui,Non,Oui,Moringa,Lun–Sam 08h00–17h00
TRD0152,Centre de Médecine Traditionnelle de Bonapriso,Douala,Douala III,PK17,4.129536,9.737358,+237 692 686 955,traditionnelbo@hotmail.com,Oui,Oui,Non,Oui,Oui,Oui,Oui,Moringa,Lun–Ven 08h00–18h00
TRD0153,Centre de Phytothérapie de Cité Verte,Yaoundé,Yaoundé II,Cité Verte,3.845551,11.608855,+237 693 950 773,phytothérapiec@sante.cm,Non,Oui,Non,Oui,Oui,Oui,Oui,Gingembre,Lun–Sam 08h30–18h30
TRD0154,Centre de Médecine Traditionnelle de Sodiko,Douala,Douala II,Sodiko,4.051269,9.690803,+237 679 730 563,traditionnelso@hotmail.com,Oui,Oui,Non,Oui,Oui,Oui,Non,Papayer,Lun–Sam 07h00–20h00
TRD0155,Centre de Médecine Traditionnelle de Nkongmondo,Douala,Douala II,Nkongmondo,4.074463,9.70732,+237 696 104 401,traditionnelnk@gmail.com,Oui,Oui,Oui,Oui,Oui,Non,Oui,Hibiscus,Lun–Sam 07h00–20h00
TRD0156,Centre de Phytothérapie de Deido,Douala,Douala V,Ndokoti,3.981412,9.662868,+237 692 346 264,phytothérapied@gmail.com,Oui,Oui,Non,Oui,Oui,Oui,Non,Kinkeliba,7j/7 — 08h00–20h00
TRD0157,Médecine Naturelle Mbarga,Yaoundé,Yaoundé V,Mvog-Atangana,3.802842,11.476891,+237 698 318 344,naturelmbarga@gmail.com,Oui,Oui,Oui,Non,Non,Oui,Oui,Gingembre,Lun–Sam 08h00–17h00
TRD0158,Médecine Naturelle Zang,Yaoundé,Yaoundé II,Cité Verte,3.889105,11.413611,+237 233 201 921,naturelzang@sante.cm,Non,Oui,Non,Oui,Oui,Oui,Oui,Aloe Vera,Lun–Sam 07h30–19h00
TRD0159,Cabinet Traditionnel Mbassi,Yaoundé,Yaoundé I,Santa Barbara,3.887301,11.444677,+237 233 085 664,traditionnelmb@gmail.com,Non,Oui,Non,Oui,Oui,Oui,Oui,Gingembre,Lun–Ven 07h30–17h30
TRD0160,Centre de Phytothérapie de Étoa-Meki,Yaoundé,Yaoundé II,Étoa-Meki,3.803392,11.526717,+237 653 624 152,phytothérapieé@sante.cm,Non,Oui,Oui,Non,Oui,Non,Oui,Gingembre,Lun–Sam 07h00–20h00
TRD0161,Cabinet Traditionnel Assamba,Yaoundé,Yaoundé II,Briqueterie,3.820893,11.607565,+237 651 057 648,traditionnelas@yahoo.fr,Oui,Oui,Oui,Non,Oui,Non,Non,Moringa,Lun–Ven 07h30–17h30
TRD0162,Cabinet Traditionnel Zang,Yaoundé,Yaoundé II,Tsinga,3.932739,11.441677,+237 233 861 946,traditionnelza@yahoo.fr,Oui,Oui,Non,Non,Oui,Oui,Non,Neem,Lun–Sam 08h30–18h30
TRD0163,Médecine Naturelle Mbarga,Douala,Douala V,Deido,4.037026,9.699894,+237 653 911 608,naturelmbarga@gmail.com,Non,Oui,Non,Non,Oui,Oui,Non,Gingembre,Lun–Dim 08h00–18h00
TRD0164,Cabinet Traditionnel Abega,Yaoundé,Yaoundé V,Tsinga,3.91073,11.50537,+237 695 345 178,traditionnelab@hotmail.com,Oui,Oui,Non,Oui,Oui,Non,Oui,Kinkeliba,Lun–Dim 08h00–18h00
TRD0165,Centre de Phytothérapie de Ndog-Passi III,Douala,Douala V,Japoma,4.049938,9.690672,+237 652 975 479,phytothérapien@hotmail.com,Oui,Oui,Non,Oui,Oui,Non,Non,Neem,Lun–Sam 07h30–19h00
TRD0166,Phytothérapie Salut,Douala,Douala VI,New Bell,4.02206,9.690085,+237 697 141 145,phytothérapies@sante.cm,Oui,Oui,Non,Oui,Oui,Non,Non,Hibiscus,Lun–Sam 08h30–18h30
TRD0167,Phytothérapie Progrès,Yaoundé,Yaoundé II,Mvog-Atangana,3.929885,11.549138,+237 694 468 717,phytothérapiep@sante.cm,Oui,Oui,Non,Oui,Oui,Non,Oui,Prunus Africana,Lun–Sam 08h00–17h00
TRD0168,Phytothérapie Harmonie,Douala,Douala III,Cité des Palmiers,3.985663,9.764857,+237 233 389 145,phytothérapieh@yahoo.fr,Oui,Oui,Non,Non,Oui,Oui,Oui,Hibiscus,Lun–Ven 08h00–18h00
TRD0169,Centre Traditionnel Anne,Douala,Douala II,Mboppi,4.011322,9.733031,+237 650 801 636,traditionnelan@gmail.com,Oui,Oui,Oui,Non,Oui,Non,Oui,Aloe Vera,Lun–Sam 07h00–20h00
TRD0170,Centre Traditionnel Patrick,Yaoundé,Yaoundé VII,Carrière,3.936228,11.466891,+237 650 061 102,traditionnelpa@sante.cm,Non,Oui,Non,Oui,Oui,Oui,Non,Kinkeliba,Lun–Ven 07h30–17h30
TRD0171,Centre de Médecine Traditionnelle de Ndogbong,Douala,Douala V,Makepe,4.093607,9.693525,+237 242 528 202,traditionnelnd@hotmail.com,Oui,Oui,Non,Oui,Oui,Oui,Oui,Hibiscus,Lun–Sam 07h30–19h00
TRD0172,Centre de Médecine Traditionnelle de Tsinga,Yaoundé,Yaoundé VI,Briqueterie,3.882909,11.445971,+237 650 037 546,traditionnelts@yahoo.fr,Non,Oui,Non,Oui,Oui,Oui,Oui,Papayer,Lun–Ven 08h00–18h00
TRD0173,Cabinet Traditionnel Fouda,Yaoundé,Yaoundé V,Bastos,3.833799,11.600051,+237 653 101 877,traditionnelfo@sante.cm,Oui,Oui,Non,Oui,Oui,Non,Oui,Kinkeliba,Lun–Ven 07h30–17h30
TRD0174,Médecine Naturelle Mvogo,Yaoundé,Yaoundé V,Nkomo,3.874873,11.559303,+237 697 395 293,naturelmvogo@sante.cm,Oui,Oui,Non,Oui,Oui,Non,Oui,Gingembre,7j/7 — 08h00–20h00
TRD0175,Centre Traditionnel Joachim,Yaoundé,Yaoundé I,Melen,3.84014,11.448161,+237 699 683 740,traditionneljo@yahoo.fr,Non,Oui,Non,Oui,Oui,Oui,Oui,Moringa,Lun–Sam 08h30–18h30
TRD0176,Centre de Phytothérapie de Bessengue,Douala,Douala IV,Bessengue,4.081637,9.7535,+237 696 727 758,phytothérapieb@yahoo.fr,Oui,Oui,Non,Non,Oui,Non,Oui,Moringa,Lun–Sam 08h30–18h30
TRD0177,Centre Traditionnel Marc,Yaoundé,Yaoundé VII,Biyem-Assi,3.815027,11.60641,+237 679 969 596,traditionnelma@hotmail.com,Oui,Oui,Non,Oui,Oui,Oui,Oui,Hibiscus,Lun–Sam 07h30–19h00
TRD0178,Phytothérapie Santé,Yaoundé,Yaoundé V,Kondengui,3.807072,11.435378,+237 692 310 048,phytothérapies@sante.cm,Non,Oui,Non,Oui,Oui,Non,Non,Hibiscus,Lun–Ven 08h00–18h00
TRD0179,Centre Traditionnel Pierre,Douala,Douala V,PK8,4.073101,9.672121,+237 696 774 521,traditionnelpi@gmail.com,Oui,Oui,Non,Oui,Non,Non,Non,Papayer,7j/7 — 08h00–20h00
TRD0180,Médecine Naturelle Zang,Douala,Douala III,Bonaloka,3.986888,9.660959,+237 679 216 056,naturelzang@hotmail.com,Oui,Oui,Non,Non,Non,Non,Non,Neem,Lun–Ven 08h00–18h00
TRD0181,Cabinet Traditionnel Fotso,Yaoundé,Yaoundé VI,Nkol-Afeme,3.855241,11.467424,+237 695 443 240,traditionnelfo@hotmail.com,Oui,Oui,Non,Non,Oui,Non,Oui,Aloe Vera,Lun–Ven 07h30–17h30
TRD0182,Médecine Naturelle Onana,Yaoundé,Yaoundé I,Mvog-Beti,3.769954,11.429505,+237 699 161 811,naturelonana@sante.cm,Non,Oui,Non,Oui,Oui,Non,Non,Neem,Lun–Ven 07h30–17h30
TRD0183,Centre de Médecine Traditionnelle de PK10,Douala,Douala II,Bonaberi,4.068641,9.658749,+237 694 953 732,traditionnelpk@sante.cm,Oui,Oui,Non,Oui,Oui,Oui,Oui,Aloe Vera,Lun–Sam 07h00–20h00
TRD0184,Centre de Phytothérapie de Bangue,Douala,Douala III,Bangue,4.140377,9.714064,+237 650 716 886,phytothérapieb@hotmail.com,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Rauwolfia,Lun–Dim 08h00–18h00
TRD0185,Centre de Phytothérapie de Tsinga,Yaoundé,Yaoundé II,Tsinga,3.90443,11.593383,+237 243 514 351,phytothérapiet@yahoo.fr,Oui,Oui,Oui,Oui,Oui,Oui,Non,Rauwolfia,Lun–Sam 07h30–19h00
TRD0186,Centre de Médecine Traditionnelle de Simbock,Yaoundé,Yaoundé IV,Simbock,3.762043,11.51798,+237 655 319 221,traditionnelsi@hotmail.com,Oui,Oui,Non,Non,Non,Oui,Non,Prunus Africana,7j/7 — 08h00–20h00
TRD0187,Centre de Médecine Traditionnelle de Bangue,Douala,Douala VI,Ndokoti,4.022909,9.636025,+237 678 934 874,traditionnelba@hotmail.com,Oui,Oui,Oui,Non,Oui,Oui,Oui,Moringa,Lun–Sam 07h00–20h00
TRD0188,Phytothérapie Lumière,Douala,Douala IV,Bangue,4.116791,9.684346,+237 677 539 973,phytothérapiel@sante.cm,Oui,Oui,Non,Oui,Non,Non,Oui,Gingembre,Lun–Sam 07h00–20h00
TRD0189,Centre de Médecine Traditionnelle de Cité Verte,Yaoundé,Yaoundé VII,Cité Verte,3.826976,11.506852,+237 694 195 553,traditionnelci@gmail.com,Oui,Oui,Non,Oui,Oui,Non,Non,Rauwolfia,Lun–Ven 08h00–18h00
TRD0190,Centre de Phytothérapie de Sodiko,Douala,Douala VI,Makepe,4.029269,9.731919,+237 222 849 763,phytothérapies@yahoo.fr,Oui,Oui,Non,Oui,Oui,Non,Oui,Hibiscus,Lun–Sam 07h00–20h00
TRD0191,Centre de Phytothérapie de Bonapriso,Douala,Douala I,Bonapriso,4.041074,9.687328,+237 650 775 442,phytothérapieb@yahoo.fr,Oui,Oui,Non,Oui,Oui,Non,Oui,Gingembre,Lun–Sam 07h30–19h00
TRD0192,Centre de Médecine Traditionnelle de Youpwé,Douala,Douala III,PK12,4.057315,9.722742,+237 696 397 181,traditionnelyo@gmail.com,Non,Oui,Non,Oui,Oui,Non,Non,Moringa,Lun–Sam 07h00–20h00
TRD0193,Centre de Médecine Traditionnelle de Essos,Yaoundé,Yaoundé III,Essos,3.755649,11.473171,+237 692 921 917,traditionneles@yahoo.fr,Non,Oui,Non,Oui,Oui,Non,Non,Kinkeliba,Lun–Ven 08h00–18h00
TRD0194,Cabinet Traditionnel Owona,Yaoundé,Yaoundé III,Nkoldongo,3.837236,11.540615,+237 678 835 464,traditionnelow@hotmail.com,Oui,Oui,Non,Oui,Oui,Non,Oui,Moringa,Lun–Sam 08h30–18h30
TRD0195,Médecine Naturelle Wamba,Yaoundé,Yaoundé VI,Mimboman,3.832381,11.583442,+237 678 036 703,naturelwamba@hotmail.com,Oui,Oui,Non,Non,Non,Oui,Oui,Kinkeliba,Lun–Dim 08h00–18h00
TRD0196,Centre Traditionnel Pierre,Yaoundé,Yaoundé V,Nsam,3.873773,11.470264,+237 243 178 123,traditionnelpi@yahoo.fr,Oui,Oui,Non,Oui,Non,Non,Non,Moringa,Lun–Sam 07h30–19h00
TRD0197,Médecine Naturelle Manga,Yaoundé,Yaoundé IV,Émana,3.796763,11.523093,+237 651 918 442,naturelmanga@gmail.com,Non,Oui,Oui,Non,Oui,Non,Non,Papayer,7j/7 — 08h00–20h00
TRD0198,Centre de Médecine Traditionnelle de Ndoghem,Douala,Douala V,Ndogbong,4.034858,9.707593,+237 233 907 452,traditionnelnd@gmail.com,Oui,Oui,Non,Non,Oui,Oui,Non,Papayer,Lun–Ven 07h30–17h30
TRD0199,Centre Traditionnel Damien,Douala,Douala V,PK14,4.047174,9.680268,+237 243 307 521,traditionnelda@gmail.com,Non,Oui,Non,Oui,Oui,Oui,Oui,Aloe Vera,Lun–Dim 08h00–18h00
TRD0200,Centre de Médecine Traditionnelle de Kondengui,Yaoundé,Yaoundé IV,Ngousso,3.840254,11.400711,+237 691 566 750,traditionnelko@hotmail.com,Oui,Oui,Non,Oui,Oui,Non,Non,Prunus Africana,Lun–Sam 08h00–17h00
TRD0201,Centre de Phytothérapie de Obili,Yaoundé,Yaoundé IV,Étoa-Meki,3.774393,11.456652,+237 679 804 500,phytothérapieo@gmail.com,Non,Oui,Non,Oui,Oui,Oui,Oui,Papayer,Lun–Sam 07h30–19h00
TRD0202,Médecine Naturelle Engoulou,Yaoundé,Yaoundé V,Émana,3.903255,11.423176,+237 678 644 588,naturelengoulo@hotmail.com,Non,Oui,Non,Oui,Oui,Non,Oui,Gingembre,Lun–Sam 07h30–19h00
TRD0203,Cabinet Traditionnel Mbarga,Yaoundé,Yaoundé II,Émana,3.910434,11.417005,+237 650 968 883,traditionnelmb@yahoo.fr,Non,Oui,Non,Oui,Oui,Oui,Oui,Hibiscus,Lun–Sam 07h30–19h00
TRD0204,Médecine Naturelle Eba,Douala,Douala II,Ndokoti,4.080328,9.691742,+237 691 281 369,natureleba@yahoo.fr,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Prunus Africana,Lun–Sam 08h30–18h30
TRD0205,Médecine Naturelle Nguele,Yaoundé,Yaoundé VII,Ngousso,3.81865,11.537576,+237 243 931 267,naturelnguele@sante.cm,Non,Oui,Non,Oui,Oui,Oui,Oui,Prunus Africana,Lun–Dim 08h00–18h00
TRD0206,Médecine Naturelle Fotso,Douala,Douala II,Bonapriso,4.104584,9.772458,+237 651 627 132,naturelfotso@hotmail.com,Oui,Oui,Non,Non,Oui,Oui,Oui,Prunus Africana,Lun–Ven 07h30–17h30
TRD0207,Centre de Phytothérapie de Ndog-Passi III,Douala,Douala II,Ndog-Bong,4.040397,9.631543,+237 650 192 252,phytothérapien@gmail.com,Non,Oui,Non,Oui,Non,Oui,Non,Aloe Vera,Lun–Ven 08h00–18h00
TRD0208,Cabinet Traditionnel Belinga,Douala,Douala VI,Nyalla,4.042308,9.723944,+237 690 846 355,traditionnelbe@hotmail.com,Oui,Oui,Non,Oui,Oui,Oui,Oui,Prunus Africana,Lun–Sam 07h30–19h00
TRD0209,Centre de Médecine Traditionnelle de Mvog-Ada,Yaoundé,Yaoundé VI,Mvog-Ada,3.823737,11.601289,+237 695 664 143,traditionnelmv@gmail.com,Oui,Oui,Non,Oui,Non,Non,Oui,Neem,Lun–Sam 07h00–20h00
TRD0210,Médecine Naturelle Ndjock,Douala,Douala III,Logbessou,4.132755,9.694161,+237 691 570 321,naturelndjock@gmail.com,Non,Oui,Oui,Oui,Oui,Non,Non,Rauwolfia,Lun–Ven 08h00–18h00
TRD0211,Centre de Phytothérapie de Briqueterie,Yaoundé,Yaoundé V,Biyem-Assi,3.843707,11.435348,+237 652 578 801,phytothérapieb@hotmail.com,Oui,Oui,Non,Oui,Oui,Oui,Oui,Rauwolfia,Lun–Dim 08h00–18h00
TRD0212,Phytothérapie Confiance,Yaoundé,Yaoundé IV,Madagascar,3.86091,11.439315,+237 654 127 292,phytothérapiec@sante.cm,Oui,Oui,Non,Non,Oui,Non,Non,Hibiscus,Lun–Dim 08h00–18h00
TRD0213,Cabinet Traditionnel Engoulou,Douala,Douala II,Japoma,4.018971,9.631947,+237 699 358 970,traditionnelen@sante.cm,Non,Oui,Non,Non,Oui,Non,Non,Kinkeliba,Lun–Sam 07h30–19h00
TRD0214,Centre de Médecine Traditionnelle de Étoa-Meki,Yaoundé,Yaoundé VI,Étoa-Meki,3.89795,11.525812,+237 655 412 188,traditionnelét@hotmail.com,Oui,Oui,Oui,Non,Oui,Non,Oui,Neem,Lun–Sam 08h00–17h00
TRD0215,Cabinet Traditionnel Ndoumbe,Yaoundé,Yaoundé V,Carrière,3.891263,11.591939,+237 222 651 942,traditionnelnd@yahoo.fr,Oui,Oui,Non,Non,Oui,Oui,Non,Rauwolfia,Lun–Dim 08h00–18h00
TRD0216,Médecine Naturelle Tabi,Douala,Douala III,Kotto,4.00059,9.741425,+237 242 985 776,natureltabi@yahoo.fr,Non,Oui,Non,Oui,Non,Non,Non,Papayer,Lun–Sam 07h00–20h00
TRD0217,Phytothérapie Harmonie,Douala,Douala V,Bepanda,3.991013,9.738403,+237 692 708 852,phytothérapieh@sante.cm,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Moringa,Lun–Sam 07h00–20h00
TRD0218,Phytothérapie Salut,Yaoundé,Yaoundé VII,Ekounou,3.854664,11.470441,+237 677 850 768,phytothérapies@hotmail.com,Non,Oui,Non,Non,Oui,Non,Oui,Rauwolfia,Lun–Sam 07h00–20h00
TRD0219,Centre de Phytothérapie de PK12,Douala,Douala IV,Bepanda,4.040135,9.653594,+237 696 851 995,phytothérapiep@sante.cm,Oui,Oui,Non,Oui,Non,Oui,Non,Kinkeliba,Lun–Sam 08h30–18h30
TRD0220,Centre de Phytothérapie de Ndokoti,Douala,Douala II,Ndog-Passi III,3.987653,9.698886,+237 653 756 195,phytothérapien@hotmail.com,Oui,Oui,Non,Oui,Oui,Oui,Non,Kinkeliba,Lun–Ven 08h00–18h00
TRD0221,Cabinet Traditionnel Ngoa,Douala,Douala IV,Kotto,4.061592,9.640034,+237 242 678 904,traditionnelng@hotmail.com,Oui,Oui,Non,Oui,Oui,Oui,Oui,Neem,Lun–Ven 07h30–17h30
TRD0222,Centre de Phytothérapie de Bepanda,Douala,Douala III,Ndokoti,4.012947,9.661121,+237 699 209 303,phytothérapieb@gmail.com,Oui,Oui,Non,Oui,Oui,Oui,Oui,Prunus Africana,Lun–Sam 08h00–17h00
TRD0223,Centre de Phytothérapie de Bonamoussadi,Douala,Douala II,Ndokoti,4.104709,9.641697,+237 653 227 011,phytothérapieb@hotmail.com,Oui,Oui,Oui,Oui,Non,Oui,Non,Prunus Africana,Lun–Sam 08h30–18h30
